Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN
2018,Honda,Pilot Elite,Used,"$29,989 ",4.5,222,Black,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H02JB051382
2022,Honda,Passport TrailSport,New,"$50,705 ",4.9,1,Crystal Black Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H62NB032739
2017,Honda,CR-V Touring,Used,"$21,821 ",5.0,537,Gunmetal Metallic,–,Front-wheel Drive,28–34,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,7FARW1H98HE035370
2015,Honda,Crosstour EX-L,Used,"$18,623 ",3.0,313,White,Black,Four-wheel Drive,19–28,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5J6TF2H50FL000315
2019,Honda,Pilot EX-L,Honda Certified,"$34,990 ",5.0,1822,Crystal Black Pearl,Black,All-wheel Drive,18–26,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H53KB061562
2022,Honda,Civic Si Base,Used,"$38,777 ",4.5,17,Blue,Black / Red,Front-wheel Drive,27–37,Gasoline,6-Speed Manual,1.5L I4 16V GDI DOHC Turbo,2HGFE1E52NH471626
2022,Honda,Pilot EX-L,New,"$44,000 ",4.4,878,Platinum,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H56NB083432
2022,Honda,Passport EX-L,Used,"$37,588 ",5.0,4044,Platinum White Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H57NB000490
2021,Honda,Odyssey LX,Used,"$29,293 ",4.0,317,Obsidian Blue Pearl,Black,Front-wheel Drive,19–28,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H23MB038658
2014,Honda,Ridgeline RTL,Used,"$21,817 ",5.0,778,Crystal Black Pearl,Black,Four-wheel Drive,15–21,Gasoline,Automatic,Regular Unleaded V-6 3.5 L/212,5FPYK1F5XEB002649
2006,Honda,Element EX-P,Used,"$12,995 ",4.4,102,Silver,Gray / Blue,Four-wheel Drive,21–24,Gasoline,5-Speed Manual,2.4L I4 16V MPFI DOHC,5J6YH27706L012452
2023,Honda,Pilot Touring,New,"$49,895 ",4.2,1578,Modern Steel Metallic,Black,All-wheel Drive,19–25,Gasoline,Automatic,Premium Unleaded V-6 3.5 L/212,5FNYG1H74PB007034
2019,Honda,Ridgeline Sport,Used,"$29,344 ",4.2,90,Lunar Silver Metallic,Black,All-wheel Drive,18–25,Gasoline,6-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F10KB049015
2022,Honda,Pilot Special Edition,New,"$44,600 ",2.8,178,Sonic Gray Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H2XNB105339
2022,Honda,HR-V EX,Used,"$27,279 ",3.8,1,Aegean Blue Metallic,Black,All-wheel Drive,26–31,Gasoline,continuously variable w/sport mode,4 Cylinder Engine,3CZRU6H56NM734249
2016,Honda,Odyssey EX-L,Used,"$23,688 ",4.5,83,–,–,Front-wheel Drive,19–28,Gasoline,6-Speed Automatic,3.5L V6 24V MPFI SOHC,5FNRL5H62GB093233
2022,Honda,CR-V Hybrid Touring,Used,"$38,127 ",4.6,429,Crystal Black Pearl,Black,All-wheel Drive,40–35,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,5J6RT6H91NL003249
2008,Honda,Accord EX-L,Used,"$9,995 ",4.7,128,Red,Black,Front-wheel Drive,21–30,Gasoline,5-Speed Automatic,2.4L I4 16V MPFI DOHC,1HGCS12888A010489
2021,Honda,Ridgeline Sport,Used,"$36,487 ",5.0,2581,Gray,Gray,All-wheel Drive,18–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F1XMB007065
