Year,Make,Model,Condition,Price,Consumer_Rating,Consumer_Review_#,Exterior_Color,Interior_Color,Drivetrain,MPG,Fuel_Type,Transmission,Engine,VIN
2022,Honda,Pilot Sport,New,"$39,595 ",4.5,1691,Crystal Black Pearl,–,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H38NB102612
2023,Honda,Ridgeline RTL,New,"$43,482 ",5,2291,Radiant Red Metallic II,Black,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FPYK3F56PB012724
2023,Honda,CR-V EX-L,New,"$35,400 ",4.9,2843,Platinum White Pearl,Black,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V DOHC,2HKRS3H72PH300656
2022,Honda,Pilot TrailSport,New,"$46,500 ",4.6,880,Sonic Gray Pearl,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H86NB084560
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",4.8,723,Platinum White Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F32NA061052
2022,Honda,Accord Sport 2.0T,New,"$35,150 ",4.8,723,Platinum White Pearl,Black,Front-wheel Drive,22–32,Gasoline,10-Speed Automatic,2.0L I4 16V GDI DOHC Turbo,1HGCV2F32NA025528
2022,Honda,Accord Sport 1.5T,New,"$30,075 ",4.8,723,Crystal Black Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F39NA061033
2023,Honda,Accord EX,New,"$30,705 ",4.8,723,Obsidian Blue Pearl,Black,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V DOHC,1HGCY1F35PA003379
2022,Honda,Passport Elite,New,"$47,050 ",5,2599,Platinum White Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H07NB003457
2022,Honda,Accord Sport 1.5T,New,"$30,470 ",4.9,559,Platinum White Pearl,Black,Front-wheel Drive,29–35,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,1HGCV1F34NA116455
2022,Honda,Pilot TrailSport,New,"$46,719 ",4.5,820,Platinum White Pearl,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H84NB098618
2022,Honda,Passport TrailSport,New,"$41,500 ",4.5,3710,–,–,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H69NB023701
2022,Honda,Pilot EX-L,New,"$43,605 ",5,2231,Lunar Silver Metallic,Gray,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H59NB104872
2023,Honda,CR-V EX,New,"$34,860 ",4.7,13,Platinum White Pearl,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RS4H41PL003427
2023,Honda,Odyssey Sport,New,"$43,160 ",4.4,13,Platinum White Pearl,Black,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H71PB035452
2022,Honda,Passport EX-L,New,"$43,230 ",4.9,13,Radiant Red Metallic II,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H54NB031485
2023,Honda,CR-V EX-L,New,"$36,505 ",4.7,13,Lunar Silver Metallic,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H78PH401352
2023,Honda,CR-V EX,New,"$34,250 ",4.7,13,Platinum White Pearl,Gray,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H49PH411250
2022,Honda,Pilot TrailSport,New,"$46,500 ",5,13,Platinum White Pearl,Black,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H85NB077633
2023,Honda,CR-V EX-L,New,"$35,005 ",4.7,13,Meteorite Gray Metallic,Gray,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,5J6RS3H71PL000919
2023,Honda,CR-V EX-L,New,"$37,055 ",4.7,13,Crystal Black Pearl,Gray,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H73PH411903
2022,Honda,Passport TrailSport,New,"$47,848 ",4.9,13,Sonic Gray Pearl,Black,All-wheel Drive,19–24,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H66NB020920
2022,Honda,Pilot Special Edition,New,"$44,205 ",5,13,Modern Steel Metallic,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H24NB086304
2022,Honda,CR-V Touring,New,"$36,845 ",4.8,3,Lunar Silver Metallic,Gray,All-wheel Drive,27–32,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRW2H90NH666757
2023,Honda,Passport TrailSport,New,"$44,290 ",4.8,3,Platinum White Pearl,Black,All-wheel Drive,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNYF8H60PB003596
2022,Honda,Pilot Special Edition,New,"$44,100 ",5,3,Sonic Gray Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H20NB100232
2023,Honda,CR-V EX-L,New,"$38,500 ",4.7,3,Crystal Black Pearl,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H75PH407917
2023,Honda,CR-V EX-L,New,"$37,000 ",4.7,3,Silver,Black,Front-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS3H7XPH300162
2023,Honda,CR-V EX-L,New,"$35,400 ",4.7,7,Platinum White Pearl,Black,Front-wheel Drive,,Gasoline,1-Speed CVT with Overdrive,1.5L I4 16V GDI DOHC Turbo,2HKRS3H72PH300186
2023,Honda,CR-V EX-L,New,"$35,900 ",4.7,7,Urban Gray Pearl,Black,All-wheel Drive,,Gasoline,1-Speed CVT with Overdrive,1.5L I4 16V GDI DOHC Turbo,2HKRS4H70PH409106
2023,Honda,CR-V EX-L,New,"$36,505 ",3.7,270,Lunar Silver Metallic,Black,All-wheel Drive,,Gasoline,Automatic CVT,1.5L I4 16V GDI DOHC Turbo,2HKRS4H77PH401343
2022,Honda,Pilot Touring 8-Passenger,New,"$48,860 ",5,14,White,Black,All-wheel Drive,19–26,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FNYF6H62NB099796
2022,Honda,Accord Hybrid Sport,New,"$34,555 ",4.7,328,White,Black,Front-wheel Drive,44–41,Hybrid,Automatic CVT,2.0L I4 16V MPFI DOHC Hybrid,1HGCV3F21NA044794
2022,Honda,Pilot Sport,New,"$39,780 ",5,1516,Sonic Gray Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H36NB104164
2023,Honda,Passport TrailSport,New,"$41,441 ",4.2,415,Black,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H66PB001092
2022,Honda,Pilot Sport,New,"$41,770 ",5,1,Platinum White Pearl,Black,All-wheel Drive,19–26,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H39NB099350
2023,Honda,Odyssey Sport,New,"$43,050 ",4.4,1,Platinum White Pearl,Black,Front-wheel Drive,,Gasoline,10-Speed Automatic,3.5L V6 24V GDI SOHC,5FNRL6H77PB023354
2023,Honda,Ridgeline Black Edition,New,"$44,042 ",5,4272,Platinum White Pearl,Black,All-wheel Drive,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FPYK3F82PB009605
2022,Honda,Pilot Sport,New,"$41,770 ",4.7,436,Platinum White Pearl,Nh-883p/Black,All-wheel Drive,19–26,Gasoline,9-SPEED A/T,V6 Cylinder Engine,5FNYF6H39NB100609
2023,Honda,Odyssey Sport,New,"$42,655 ",4.6,1874,Crystal Black Pearl,–,FWD,,Gasoline,Automatic,3.5L V6 24V GDI SOHC,5FNRL6H71PB029697
2022,Honda,Pilot TrailSport,New,"$46,105 ",4.6,1874,Crystal Black Pearl,–,All-wheel Drive,19–25,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF6H8XNB067454
2022,Honda,CR-V EX,New,"$32,055 ",3.9,161,CRYSTAL BLACK,Black,All-wheel Drive,27–32,Gasoline,Variable,Intercooled Turbo Regular Unleaded I-4 1.5 L/91,7FARW2H59NE056453
2023,Honda,Passport TrailSport,New,"$45,580 ",4.8,1978,Sonic Gray Pearl,Black,AWD,,Gasoline,9-Speed Automatic,3.5L V6 24V GDI SOHC,5FNYF8H61PB003154
2023,Honda,CR-V Hybrid Sport,New,"$34,090 ",4.4,3,Platinum,Black,Front-wheel Drive,,Hybrid,Automatic CVT,2.0L I4 16V GDI DOHC Hybrid,2HKRS5H55PH701273
